dependency	metric	mean_abs	median_abs	p99_abs	max_abs	mismatched	rows	contrast	reference
rcompat-lbfgsb-0.1.6	baseMean	1.1250349507614007e-12	8.881784197001252e-16	6.821210263296962e-12	6.51925802230835e-09	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.1.6	log2FoldChange	2.165901965255515e-08	3.11001224773122e-14	3.786748692391484e-12	0.0007704646350945588	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.1.6	lfcSE	1.901965700222572e-10	1.741828903334408e-12	1.8806822765782272e-10	1.9471189929287647e-06	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.1.6	stat	3.221033778777631e-08	5.2724491439448684e-12	3.702149697915047e-11	0.0012506460354155813	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.1.6	pvalue	3.6514719342790307e-09	2.755906614027026e-12	4.29662416756571e-11	6.50398931982786e-05	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.1.6	padj	2.166555571354138e-08	0	8.079115154657757e-11	4.4982948418037516e-05	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1	baseMean	1.1250349507614007e-12	8.881784197001252e-16	6.821210263296962e-12	6.51925802230835e-09	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1	log2FoldChange	2.167684364498743e-08	3.1502578323738817e-14	3.7926883855732285e-12	0.0007704677525874892	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1	lfcSE	2.7094630540802686e-10	1.7669199436909366e-12	1.878550648370947e-10	5.099734820240842e-06	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1	stat	3.3160757707194174e-08	5.327627228268739e-12	3.698308326249844e-11	0.0012506510965386575	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1	pvalue	4.261329132644641e-09	2.7788327194855356e-12	4.29538071777813e-11	6.50401560176872e-05	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1	padj	2.2860665274337197e-08	0	8.061995515618037e-11	7.287133870159668e-05	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1-analytic-beta-gradient	baseMean	1.1250349507614007e-12	8.881784197001252e-16	6.821210263296962e-12	6.51925802230835e-09	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1-analytic-beta-gradient	log2FoldChange	2.1423808527606283e-08	2.4646951146678475e-14	3.0313529464365274e-12	0.0007704729806690125	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1-analytic-beta-gradient	lfcSE	2.687262683767343e-10	1.3797296638529133e-12	1.5000001241105565e-10	5.0997347187733966e-06	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1-analytic-beta-gradient	stat	3.262341502192648e-08	4.179545598503864e-12	2.956701550260732e-11	0.0012506595014420974	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1-analytic-beta-gradient	pvalue	4.2073050482597564e-09	2.3663293546860587e-12	4.37730407476522e-11	6.504059247648339e-05	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
rcompat-lbfgsb-0.2.1-analytic-beta-gradient	padj	2.2849301665707885e-08	0	8.186396005527286e-11	7.287133724542816e-05	0	65580	kidney_full_blocked_permutation_rep01	offline_DESeq2_R_4.6.1_study
